Generation	Ne	Frequency	WT	HET	HOM	Fit(WT)	Fit(HET)	Fit(HOM)	Replicate
58000	34039	0.160434	23992	9172	875	1	1	1	1
58001	34039	0.158994	24076	9102	861	1	1	1	1
58002	17383	0.181269	11919	4626	838	0.5	0.5	1	1
58003	17674	0.205698	11499	5079	1096	0.5	0.5	1	1
58004	17813	0.235558	10846	5542	1425	0.5	0.5	1	1
58005	18093	0.276654	9994	6187	1912	0.5	0.5	1	1
58006	34039	0.27655	17875	13501	2663	1	1	1	1
58007	34039	0.274905	17877	13609	2553	1	1	1	1
58008	34039	0.279797	17572	13886	2581	1	1	1	1
58009	34039	0.281016	17597	13753	2689	1	1	1	1
58010	34039	0.281633	17585	13735	2719	1	1	1	1
58011	34039	0.281471	17605	13706	2728	1	1	1	1
58012	34039	0.279944	17619	13782	2638	1	1	1	1
58013	34039	0.279385	17675	13708	2656	1	1	1	1
58014	34039	0.279532	17656	13736	2647	1	1	1	1
58015	34039	0.281295	17576	13776	2687	1	1	1	1
58016	34039	0.283513	17447	13883	2709	1	1	1	1
58000	34039	0.160434	23992	9172	875	1	1	1	2
58001	34039	0.160977	23986	9147	906	1	1	1	2
58002	17429	0.187217	11864	4604	961	0.5	0.5	1	2
58003	17620	0.215352	11207	5237	1176	0.5	0.5	1	2
58004	17865	0.25077	10486	5798	1581	0.5	0.5	1	2
58005	18348	0.295945	9638	6560	2150	0.5	0.5	1	2
58006	34039	0.294838	16896	14214	2929	1	1	1	2
58007	34039	0.292576	17046	14068	2925	1	1	1	2
58008	34039	0.292444	17066	14037	2936	1	1	1	2
58009	34039	0.290843	17096	14086	2857	1	1	1	2
58010	34039	0.289536	17223	13921	2895	1	1	1	2
58011	34039	0.290138	17157	14012	2870	1	1	1	2
58012	34039	0.288742	17210	14001	2828	1	1	1	2
58013	34039	0.28698	17354	13833	2852	1	1	1	2
58014	34039	0.287185	17299	13929	2811	1	1	1	2
58015	34039	0.288566	17153	14127	2759	1	1	1	2
58016	34039	0.290843	17078	14122	2839	1	1	1	2
58000	34039	0.160434	23992	9172	875	1	1	1	3
58001	34039	0.160287	23992	9182	865	1	1	1	3
58002	17482	0.181415	12016	4589	877	0.5	0.5	1	3
58003	17604	0.205862	11471	5018	1115	0.5	0.5	1	3
58004	17780	0.237711	10793	5521	1466	0.5	0.5	1	3
58005	17905	0.27914	9854	6106	1945	0.5	0.5	1	3
58006	34039	0.280605	17602	13771	2666	1	1	1	3
58007	34039	0.280972	17625	13700	2714	1	1	1	3
58008	34039	0.280223	17567	13867	2605	1	1	1	3
58009	34039	0.283542	17413	13949	2677	1	1	1	3
58010	34039	0.28106	17561	13822	2656	1	1	1	3
58011	34039	0.280693	17634	13701	2704	1	1	1	3
58012	34039	0.281941	17514	13856	2669	1	1	1	3
58013	34039	0.280414	17701	13586	2752	1	1	1	3
58014	34039	0.276874	17854	13521	2664	1	1	1	3
58015	34039	0.27658	17801	13647	2591	1	1	1	3
58016	34039	0.27962	17693	13656	2690	1	1	1	3
58000	34039	0.160434	23992	9172	875	1	1	1	4
58001	34039	0.160904	23982	9160	897	1	1	1	4
58002	17467	0.184605	11914	4657	896	0.5	0.5	1	4
58003	17469	0.211117	11224	5114	1131	0.5	0.5	1	4
58004	17593	0.245552	10502	5542	1549	0.5	0.5	1	4
58005	18032	0.286962	9774	6167	2091	0.5	0.5	1	4
58006	34039	0.287714	17260	13971	2808	1	1	1	4
58007	34039	0.286084	17362	13878	2799	1	1	1	4
58008	34039	0.286862	17344	13861	2834	1	1	1	4
58009	34039	0.285364	17346	13959	2734	1	1	1	4
58010	34039	0.287611	17283	13932	2824	1	1	1	4
58011	34039	0.289036	17236	13929	2874	1	1	1	4
58012	34039	0.287317	17264	13990	2785	1	1	1	4
58013	34039	0.285525	17328	13984	2727	1	1	1	4
58014	34039	0.284527	17413	13882	2744	1	1	1	4
58015	34039	0.287905	17252	13974	2813	1	1	1	4
58016	34039	0.289345	17150	14080	2809	1	1	1	4
58000	34039	0.160434	23992	9172	875	1	1	1	5
58001	34039	0.162754	23829	9340	870	1	1	1	5
58002	17728	0.182536	12176	4632	920	0.5	0.5	1	5
58003	17595	0.209804	11375	5057	1163	0.5	0.5	1	5
58004	17789	0.244983	10623	5616	1550	0.5	0.5	1	5
58005	17985	0.286656	9701	6257	2027	0.5	0.5	1	5
58006	34039	0.282323	17537	13784	2718	1	1	1	5
58007	34039	0.279239	17639	13790	2610	1	1	1	5
58008	34039	0.282881	17552	13716	2771	1	1	1	5
58009	34039	0.283175	17503	13794	2742	1	1	1	5
58010	34039	0.28391	17476	13798	2765	1	1	1	5
58011	34039	0.285907	17375	13864	2800	1	1	1	5
58012	34039	0.28178	17630	13635	2774	1	1	1	5
58013	34039	0.280942	17611	13730	2698	1	1	1	5
58014	34039	0.276007	17888	13512	2639	1	1	1	5
58015	34039	0.273466	17941	13579	2519	1	1	1	5
58016	34039	0.272526	17991	13543	2505	1	1	1	5
58000	34039	0.160434	23992	9172	875	1	1	1	6
58001	34039	0.161183	24000	9105	934	1	1	1	6
58002	17332	0.17961	11925	4588	819	0.5	0.5	1	6
58003	17593	0.202751	11558	4936	1099	0.5	0.5	1	6
58004	17653	0.2369	10694	5554	1405	0.5	0.5	1	6
58005	17982	0.279557	9883	6144	1955	0.5	0.5	1	6
58006	34039	0.277549	17740	13703	2596	1	1	1	6
58007	34039	0.277681	17766	13642	2631	1	1	1	6
58008	34039	0.279474	17618	13816	2605	1	1	1	6
58009	34039	0.278181	17773	13594	2672	1	1	1	6
58010	34039	0.276976	17769	13684	2586	1	1	1	6
58011	34039	0.276301	17821	13626	2592	1	1	1	6
58012	34039	0.276785	17808	13619	2612	1	1	1	6
58013	34039	0.279077	17697	13685	2657	1	1	1	6
58014	34039	0.276536	17828	13596	2615	1	1	1	6
58015	34039	0.276433	17823	13613	2603	1	1	1	6
58016	34039	0.275684	17897	13516	2626	1	1	1	6
58000	34039	0.160434	23992	9172	875	1	1	1	7
58001	34039	0.159582	24118	8978	943	1	1	1	7
58002	17427	0.179922	12037	4509	881	0.5	0.5	1	7
58003	17520	0.205993	11312	5198	1010	0.5	0.5	1	7
58004	17713	0.240332	10674	5564	1475	0.5	0.5	1	7
58005	17936	0.282086	9836	6081	2019	0.5	0.5	1	7
58006	34039	0.28391	17381	13988	2670	1	1	1	7
58007	34039	0.282705	17523	13786	2730	1	1	1	7
58008	34039	0.280957	17605	13741	2693	1	1	1	7
58009	34039	0.280737	17615	13736	2688	1	1	1	7
58010	34039	0.281457	17606	13705	2728	1	1	1	7
58011	34039	0.284776	17469	13753	2817	1	1	1	7
58012	34039	0.285746	17302	14021	2716	1	1	1	7
58013	34039	0.285144	17464	13738	2837	1	1	1	7
58014	34039	0.281692	17613	13675	2751	1	1	1	7
58015	34039	0.280414	17661	13666	2712	1	1	1	7
58016	34039	0.27962	17677	13688	2674	1	1	1	7
58000	34039	0.160434	23992	9172	875	1	1	1	8
58001	34039	0.161756	23941	9184	914	1	1	1	8
58002	17442	0.181545	11992	4567	883	0.5	0.5	1	8
58003	17565	0.207458	11391	5060	1114	0.5	0.5	1	8
58004	17867	0.240079	10794	5567	1506	0.5	0.5	1	8
58005	18167	0.281747	9894	6309	1964	0.5	0.5	1	8
58006	34039	0.278636	17687	13735	2617	1	1	1	8
58007	34039	0.280472	17599	13786	2654	1	1	1	8
58008	34039	0.277446	17801	13588	2650	1	1	1	8
58009	34039	0.278342	17713	13703	2623	1	1	1	8
58010	34039	0.278886	17773	13546	2720	1	1	1	8
58011	34039	0.278049	17740	13669	2630	1	1	1	8
58012	34039	0.276418	17904	13452	2683	1	1	1	8
58013	34039	0.275801	17892	13518	2629	1	1	1	8
58014	34039	0.274274	17906	13594	2539	1	1	1	8
58015	34039	0.27116	18107	13404	2528	1	1	1	8
58016	34039	0.269485	18193	13346	2500	1	1	1	8
58000	34039	0.160434	23992	9172	875	1	1	1	9
58001	34039	0.159949	23989	9211	839	1	1	1	9
58002	17514	0.180798	12069	4557	888	0.5	0.5	1	9
58003	17651	0.208034	11425	5108	1118	0.5	0.5	1	9
58004	17679	0.239917	10622	5631	1426	0.5	0.5	1	9
58005	17890	0.282504	9749	6174	1967	0.5	0.5	1	9
58006	34039	0.283307	17411	13969	2659	1	1	1	9
58007	34039	0.284923	17438	13805	2796	1	1	1	9
58008	34039	0.281971	17626	13630	2783	1	1	1	9
58009	34039	0.282132	17523	13825	2691	1	1	1	9
58010	34039	0.278005	17708	13736	2595	1	1	1	9
58011	34039	0.277358	17753	13690	2596	1	1	1	9
58012	34039	0.278592	17685	13742	2612	1	1	1	9
58013	34039	0.278959	17681	13725	2633	1	1	1	9
58014	34039	0.280384	17589	13812	2638	1	1	1	9
58015	34039	0.275713	17852	13604	2583	1	1	1	9
58016	34039	0.274641	17880	13621	2538	1	1	1	9
58000	34039	0.160434	23992	9172	875	1	1	1	10
58001	34039	0.159009	24044	9165	830	1	1	1	10
58002	17285	0.179028	11920	4541	824	0.5	0.5	1	10
58003	17567	0.2053	11458	5005	1104	0.5	0.5	1	10
58004	17738	0.236611	10749	5584	1405	0.5	0.5	1	10
58005	18099	0.281065	9905	6214	1980	0.5	0.5	1	10
58006	34039	0.279811	17657	13715	2667	1	1	1	10
58007	34039	0.279018	17691	13701	2647	1	1	1	10
58008	34039	0.276624	17766	13714	2559	1	1	1	10
58009	34039	0.274611	17878	13627	2534	1	1	1	10
58010	34039	0.276022	17870	13547	2622	1	1	1	10
58011	34039	0.274876	17932	13501	2606	1	1	1	10
58012	34039	0.274288	17931	13543	2565	1	1	1	10
58013	34039	0.273436	17994	13475	2570	1	1	1	10
58014	34039	0.274141	17920	13575	2544	1	1	1	10
58015	34039	0.272775	17968	13572	2499	1	1	1	10
58016	34039	0.272026	18073	13413	2553	1	1	1	10
